entity_key,canonical_code,display_name,display_code,sugar_family,sugar_sort_key,anomer_availability,alpha_code,alpha_name,beta_code,beta_name,identical_group_codes,group_member_codes
6LS|,6LS,heptyl 2-deoxy-alpha-D-mannopyranoside (6LS),6LS,mannopyranoside,heptyl 2-deoxy-alpha-d-mannopyranoside,alpha_only,6LS,heptyl 2-deoxy-alpha-D-mannopyranoside,,,6LS,6LS
6KS|,6KS,heptyl 2-fluoro-alpha-D-mannopyranoside (6KS),6KS,mannopyranoside,heptyl 2-fluoro-alpha-d-mannopyranoside,alpha_only,6KS,heptyl 2-fluoro-alpha-D-mannopyranoside,,,6KS,6KS
6KW|,6KW,heptyl 3-deoxy-alpha-D-mannopyranoside (6KW),6KW,mannopyranoside,heptyl 3-deoxy-alpha-d-mannopyranoside,alpha_only,6KW,heptyl 3-deoxy-alpha-D-mannopyranoside,,,6KW,6KW
6KH|,6KH,heptyl 3-fluoro-alpha-D-mannopyranoside (6KH),6KH,mannopyranoside,heptyl 3-fluoro-alpha-d-mannopyranoside,alpha_only,6KH,heptyl 3-fluoro-alpha-D-mannopyranoside,,,6KH,6KH
6KU|,6KU,heptyl 4-deoxy-4-deoxy-alpha-D-mannopyranoside (6KU),6KU,mannopyranoside,heptyl 4-deoxy-4-deoxy-alpha-d-mannopyranoside,alpha_only,6KU,heptyl 4-deoxy-4-deoxy-alpha-D-mannopyranoside,,,6KU,6KU
6K3|,6K3,heptyl 4-deoxy-4-fluoro-alpha-D-mannopyranoside (6K3),6K3,mannopyranoside,heptyl 4-deoxy-4-fluoro-alpha-d-mannopyranoside,alpha_only,6K3,heptyl 4-deoxy-4-fluoro-alpha-D-mannopyranoside,,,6K3,6K3
KGM|,KGM,heptyl alpha-D-mannopyranoside (KGM),KGM,mannopyranoside,heptyl alpha-d-mannopyranoside,alpha_only,KGM,heptyl alpha-D-mannopyranoside,,,KGM,KGM
H1M|,H1M,methyl 2-deoxy-2-(2-hydroxyethyl)-alpha-D-mannopyranoside (H1M),H1M,mannopyranoside,methyl 2-deoxy-2-(2-hydroxyethyl)-alpha-d-mannopyranoside,alpha_only,H1M,methyl 2-deoxy-2-(2-hydroxyethyl)-alpha-D-mannopyranoside,,,H1M,H1M
Z5L|,Z5L,methyl 2-thio-alpha-D-mannopyranoside (Z5L),Z5L,mannopyranoside,methyl 2-thio-alpha-d-mannopyranoside,alpha_only,Z5L,methyl 2-thio-alpha-D-mannopyranoside,,,Z5L,Z5L
Z4R|,Z4R,methyl 3-thio-alpha-D-mannopyranoside (Z4R),Z4R,mannopyranoside,methyl 3-thio-alpha-d-mannopyranoside,alpha_only,Z4R,methyl 3-thio-alpha-D-mannopyranoside,,,Z4R,Z4R
MGS|,MGS,"methyl 4,6-dideoxy-4-{[(2R)-2,4-dihydroxybutanoyl]amino}-2-O-methyl-alpha-D-mannopyranoside (MGS)",MGS,mannopyranoside,"methyl 4,6-dideoxy-4-{[(2r)-2,4-dihydroxybutanoyl]amino}-2-o-methyl-alpha-d-mannopyranoside",alpha_only,MGS,"methyl 4,6-dideoxy-4-{[(2R)-2,4-dihydroxybutanoyl]amino}-2-O-methyl-alpha-D-mannopyranoside",,,MGS,MGS
ZD0|,ZD0,"methyl 4,6-dideoxy-4-{[(2R)-2,4-dihydroxybutanoyl]amino}-alpha-D-mannopyranoside (ZD0)",ZD0,mannopyranoside,"methyl 4,6-dideoxy-4-{[(2r)-2,4-dihydroxybutanoyl]amino}-alpha-d-mannopyranoside",alpha_only,ZD0,"methyl 4,6-dideoxy-4-{[(2R)-2,4-dihydroxybutanoyl]amino}-alpha-D-mannopyranoside",,,ZD0,ZD0
MMA|,MMA,methyl alpha-D-mannopyranoside (MMA),MMA,mannopyranoside,methyl alpha-d-mannopyranoside,alpha_only,MMA,methyl alpha-D-mannopyranoside,,,MMA,MMA
|YZ0,YZ0,methyl beta-D-mannopyranoside (YZ0),YZ0,mannopyranoside,methyl beta-d-mannopyranoside,beta_only,,,YZ0,methyl beta-D-mannopyranoside,YZ0,YZ0
OPM|,OPM,pentyl alpha-D-mannopyranoside (OPM),OPM,mannopyranoside,pentyl alpha-d-mannopyranoside,alpha_only,OPM,pentyl alpha-D-mannopyranoside,,,OPM,OPM
G8Z|,G8Z,prop-2-en-1-yl 4-O-methyl-alpha-D-mannopyranoside (G8Z),G8Z,mannopyranoside,prop-2-en-1-yl 4-o-methyl-alpha-d-mannopyranoside,alpha_only,G8Z,prop-2-en-1-yl 4-O-methyl-alpha-D-mannopyranoside,,,G8Z,G8Z
|49S,49S,2-acetamido-2-deoxy-beta-D-mannopyranuronic acid (49S),49S,mannopyranuronic acid,2-acetamido-2-deoxy-beta-d-mannopyranuronic acid,beta_only,,,49S,2-acetamido-2-deoxy-beta-D-mannopyranuronic acid,49S,49S
MAV|BEM,BEM,alpha-D-mannopyranuronic acid (MAV),MAV,mannopyranuronic acid,mannopyranuronic acid,both,MAV,alpha-D-mannopyranuronic acid,BEM,beta-D-mannopyranuronic acid,BEM,"BEM, MAV"
|MCU,MCU,methyl 4-O-methyl-beta-D-glucopyranuronate (MCU),MCU,methyl 4-o-methyl-beta-d-glucopyranuronate,methyl 4-o-methyl-beta-d-glucopyranuronate,beta_only,,,MCU,methyl 4-O-methyl-beta-D-glucopyranuronate,MCU,MCU
M8C|,M8C,methyl alpha-D-galactopyranuronate (M8C),M8C,methyl alpha-d-galactopyranuronate,methyl alpha-d-galactopyranuronate,alpha_only,M8C,methyl alpha-D-galactopyranuronate,,,M8C,M8C
